State,ActName,Category,Promulgated,Enacted
Arizona,Disclaimer of Property Interests,Uncategorized,3972,3999
Arizona,Electronic Transactions,Commercial Law,1999,2000
Arizona,Enforcement of Foreign Judgments,Civil Procedure,1964,1971
Arizona,Federal Lien Registration,Civil Procedure,1978,1990
Arizona,Federal Tax Lien Registration,Civil Procedure,1966,1972
Arizona,Fraudulent Transfer,Uncategorized,1984,1990
Arizona,Interstate Depositions and Discovery,Civil Procedure,2007,2012
Arizona,Interstate Family Support,Uncategorized,3993,3997
Arizona,Limited Partnership,Commercial Law,3961,3978
Arizona,Multiple Person Accounts,Uncategorized,1989,1994
Arizona,Partnership,Commercial Law,1994,1996
Arizona,Principal and Income,Uncategorized,4005,4010
Arizona,Probate Code,Death,1969,1973
Arizona,Prudent Investor,Uncategorized,1994,1996
Arizona,Prudent Management of Institutional Funds,Uncategorized,2006,2008
Arizona,Real Property Electronic Recording,Real Estate,2004,2005
Arizona,Residential Landlord and Tenant,Real Estate,1972,1973
Arizona,Simultaneous Death,Death,1991,1994
Arizona,Statutory Rule Against Perpetuities,Uncategorized,1986,1994
Arizona,TOD Security Registration,Uncategorized,1989,1994
Arizona,Testamentary Additions to Trusts,Uncategorized,3951,3955
Arizona,Trade Secrets,Uncategorized,1979,1990
Arizona,Transfers to Minors,Uncategorized,1983,1988
Arizona,Trust Code,Uncategorized,4000,4011
Arizona,UCC,Uncategorized,1951,1967
Arizona,UCC Article 1,Uncategorized,2001,2006
Arizona,UCC Article 2A,Uncategorized,1987,1992
Arizona,UCC Article 4A,Uncategorized,4001,4004
Arizona,UCC Article 5,Uncategorized,1995,1996
Arizona,UCC Article 7,Uncategorized,2003,2006
Arizona,UCC Article 8,Uncategorized,3971,3985
Arizona,UCC Article 9,Uncategorized,3970,3974
Arizona,UCC Articles 3 and 4,Uncategorized,1990,1993
Arizona,Unclaimed Property,Uncategorized,3976,3983
Arkansas,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,2011
Arkansas,Anatomical Gift,Anatomical Gift,5961,5965
Arkansas,Arbitration,Uncategorized,2000,2011
Arkansas,Athlete Agents,Uncategorized,2000,2001
Arkansas,Child Custody Jurisdiction and Enforcement,Children,1997,1999
Arkansas,Conservation Easement,Real Estate,1981,1983
Arkansas,Controlled Substances,Uncategorized,1970,1971
Arkansas,Custodial Trust,Uncategorized,1987,1991
Arkansas,Declaratory Judgments,Civil Procedure,1922,1957
Arkansas,Determination of Death,Death/Taxes,1980,1985
Arkansas,Disclaimer of Property Interests,Uncategorized,5978,5993
Arkansas,Disposition of Community Property Rights at Death,Death/Taxes,1971,1981
Arkansas,Division of Income for Tax Purposes,Tax,1957,1961
Arkansas,Electronic Transactions,Commercial Law,1999,2001
Arkansas,Emergency Volunteer Health Practitioners,Uncategorized,2006,2009
Arkansas,Enforcement of Foreign Judgments,Civil Procedure,3912,3938
Arkansas,Estate Tax Apportionment,Death/Taxes,2003,2007
Arkansas,Federal Lien Registration,Civil Procedure,1978,1989
Arkansas,Fraudulent Transfer,Uncategorized,1984,1987
Arkansas,Interstate Family Support,Uncategorized,1996,1997
Arkansas,Interstate Family Support Act,Uncategorized,1992,1993
Arkansas,Limited Partnership,Commercial Law,5962,5977
Arkansas,Money Services,Uncategorized,2000,2007
Arkansas,Partnership,Commercial Law,1994,1999
Arkansas,Power of Attorney,Uncategorized,2006,2011
Arkansas,Principal and Income,Uncategorized,4005,4010
Arkansas,Prudent Investor,Uncategorized,1994,1997
Arkansas,Prudent Management of Institutional Funds,Uncategorized,2006,2009
Arkansas,Real Property Electronic Recording,Real Estate,2004,2007
Arkansas,Securities,Commercial Law,1956,1959
Arkansas,Simultaneous Death,Death,5884,5905
Arkansas,Statutory Rule Against Perpetuities,Uncategorized,1986,2007
Arkansas,TOD Security Registration,Uncategorized,1989,1993
Arkansas,Testamentary Additions to Trusts,Uncategorized,3951,3958
Arkansas,Trade Secrets,Uncategorized,1979,1981
Arkansas,Transfers to Minors,Uncategorized,1983,1985
Arkansas,Trust Code,Uncategorized,2000,2005
Arkansas,UCC,Uncategorized,3913,3928
Arkansas,UCC Article 1,Uncategorized,2001,2005
Arkansas,UCC Article 2A,Uncategorized,1987,1993
Arkansas,UCC Article 4A,Uncategorized,4001,4004
Arkansas,UCC Article 5,Uncategorized,1995,1997
Arkansas,UCC Article 7,Uncategorized,2003,2007
Arkansas,UCC Article 8,Uncategorized,3971,3980
Arkansas,UCC Article 9,Uncategorized,5981,5986
Arkansas,UCC Articles 3 and 4,Uncategorized,3992,3996
Arkansas,Unclaimed Property,Uncategorized,1995,1999
Arkansas,Unincorporated Nonprofit Association,Uncategorized,1992,1997
California,Anatomical Gift,Anatomical Gift,5961,5965
California,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,1937
California,Child Custody Jurisdiction and Enforcement,Children,1997,2000
California,Controlled Substances,Uncategorized,1970,1973
California,Determination of Death,Death/Taxes,1980,1982
California,Division of Income for Tax Purposes,Tax,1957,1966
California,Electronic Legal Material,Uncategorized,2011,2012
California,Electronic Transactions,Commercial Law,1999,1999
California,Federal Lien Registration,Civil Procedure,3960,3971
California,Federal Tax Lien Registration,Civil Procedure,1966,1967
California,Foreign Country Money Judgments Recognition,Civil Procedure,2005,2007
California,Foreign Money Claims,Civil Procedure,1987,1992
California,Fraudulent Transfer,Uncategorized,1984,1986
California,Health Care Decisions,Guardians,1993,1999
California,International Wills,Death,1977,1987
California,Interstate Depositions and Discovery,Civil Procedure,2007,2009
California,Interstate Enforcement of Domestic Violence Protection Orders,Uncategorized,4002,4005
California,Interstate Family Support,Uncategorized,3993,3999
California,Limited Liability Company,Commercial Law,2006,2012
California,Limited Partnership,Commercial Law,2001,2006
California,Military and Overseas Voters,Uncategorized,2010,2012
California,Parentage,Uncategorized,1973,1976
California,Partnership,Commercial Law,1994,1996
California,Principal and Income,Uncategorized,4005,4008
California,Prudent Investor,Uncategorized,1994,1995
California,Prudent Management of Institutional Funds,Uncategorized,2006,2009
California,Simultaneous Death,Death,1940,1945
California,Statutory Rule Against Perpetuities,Uncategorized,1988,1991
California,TOD Security Registration,Uncategorized,1989,1998
California,Testamentary Additions to Trusts,Uncategorized,1960,1965
California,Trade Secrets,Uncategorized,1979,1987
California,Transfers to Minors,Uncategorized,1983,1984
California,UCC,Uncategorized,3917,3930
California,UCC Article 1,Uncategorized,2001,2006
California,UCC Article 2A,Uncategorized,3977,3979
California,UCC Article 4A,Uncategorized,4001,4002
California,UCC Article 5,Uncategorized,1995,1996
California,UCC Article 7,Uncategorized,2003,2006
California,UCC Article 8,Uncategorized,3971,3980
California,UCC Article 9,Uncategorized,3971,3974
California,UCC Articles 3 and 4,Uncategorized,1990,1992
Colorado,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,2008
Colorado,Anatomical Gift,Anatomical Gift,3974,3976
Colorado,Arbitration,Uncategorized,2000,2004
Colorado,Athlete Agents,Uncategorized,2000,2008
Colorado,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,1939
Colorado,Certification of Questions of Law,Uncategorized,1967,1969
Colorado,Child Abduction Prevention,Children,2006,2007
Colorado,Child Custody Jurisdiction and Enforcement,Children,1997,2000
Colorado,Common Interest Ownership,Uncategorized,1982,1983
Colorado,Controlled Substances,Uncategorized,1990,1992
Colorado,Custodial Trust,Uncategorized,1987,1999
Colorado,Debt Management Services,Uncategorized,2005,2007
Colorado,Declaratory Judgments,Civil Procedure,1922,1923
Colorado,Deployed Parents Custody and Visitation,Uncategorized,2012,2013
Colorado,Determination of Death,Death/Taxes,1980,1981
Colorado,Disposition of Community Property Rights at Death,Death/Taxes,1971,1973
Colorado,Division of Income for Tax Purposes,Tax,1957,1968
Colorado,Electronic Legal Material,Uncategorized,2011,2012
Colorado,Electronic Transactions,Commercial Law,1999,2002
Colorado,Emergency Volunteer Health Practitioners,Uncategorized,2006,2007
Colorado,Enforcement of Foreign Judgments,Civil Procedure,1964,1969
