State,ActName,Category,Promulgated,Enacted
Georgia,Declaratory Judgments,Civil Procedure,1922,1945
Georgia,Determination of Death,Death/Taxes,1980,1982
Georgia,Electronic Transactions,Commercial Law,1999,2009
Georgia,Enforcement of Foreign Judgments,Civil Procedure,1964,1986
Georgia,Environmental Covenants,Real Estate,2003,2008
Georgia,Federal Tax Lien Registration,Civil Procedure,1966,1967
Georgia,Fraudulent Transfer,Uncategorized,1984,2002
Georgia,Interstate Depositions and Discovery,Civil Procedure,2007,2012
Georgia,Interstate Family Support,Uncategorized,4000,4010
Georgia,Limited Partnership,Commercial Law,1976,1988
Georgia,Partition of Heirs Property,Death,2010,2012
Georgia,Prudent Management of Institutional Funds,Uncategorized,2006,2008
Georgia,Real Property Electronic Recording,Real Estate,2004,2009
Georgia,Securities,Commercial Law,2002,2008
Georgia,Simultaneous Death,Death,1940,1966
Georgia,Statutory Rule Against Perpetuities,Uncategorized,1986,1990
Georgia,TOD Security Registration,Uncategorized,1989,1999
Georgia,Testamentary Additions to Trusts,Uncategorized,3951,3978
Georgia,Trade Secrets,Uncategorized,1979,1990
Georgia,Transfers to Minors,Uncategorized,1983,1990
Georgia,UCC,Uncategorized,1951,1962
Georgia,UCC Article 2A,Uncategorized,1987,1993
Georgia,UCC Article 4A,Uncategorized,4001,4005
Georgia,UCC Article 5,Uncategorized,1995,2002
Georgia,UCC Article 7,Uncategorized,2003,2010
Georgia,UCC Article 8,Uncategorized,3971,3990
Georgia,UCC Article 9,Uncategorized,5981,5992
Georgia,UCC Articles 3 and 4,Uncategorized,1990,1996
Hawaii,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,2012
Hawaii,Anatomical Gift,Anatomical Gift,5961,5965
Hawaii,Arbitration,Uncategorized,2000,2001
Hawaii,Athlete Agents,Uncategorized,2000,2007
Hawaii,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,1971
Hawaii,Child Custody Jurisdiction and Enforcement,Children,1997,2002
Hawaii,Collaborative Law,Uncategorized,2009,2012
Hawaii,Controlled Substances,Uncategorized,1970,1972
Hawaii,Custodial Trust,Uncategorized,1987,1989
Hawaii,Disclaimer of Property Interests,Uncategorized,5950,5970
Hawaii,Disposition of Community Property Rights at Death,Death/Taxes,1971,1973
Hawaii,Division of Income for Tax Purposes,Tax,1957,1967
Hawaii,Electronic Legal Material,Uncategorized,2011,2013
Hawaii,Electronic Transactions,Commercial Law,1999,2000
Hawaii,Enforcement of Foreign Judgments,Civil Procedure,1964,1983
Hawaii,Environmental Covenants,Real Estate,2003,2006
Hawaii,Estate Tax Apportionment,Death/Taxes,1964,1972
Hawaii,Foreign Country Money Judgments Recognition,Civil Procedure,2005,2009
Hawaii,Foreign Money Claims,Civil Procedure,1989,1990
Hawaii,Fraudulent Transfer,Uncategorized,1984,1985
Hawaii,Guardianship and Protective Proceedings,Guardians,1997,2004
Hawaii,Health Care Decisions,Guardians,1993,1999
Hawaii,Interstate Depositions and Discovery,Civil Procedure,2007,2012
Hawaii,Interstate Family Support,Uncategorized,1992,1997
Hawaii,Limited Liability Company,Commercial Law,3991,3995
Hawaii,Limited Partnership,Commercial Law,3977,3992
Hawaii,Mediation,Commercial Law,2001,2013
Hawaii,Military and Overseas Voters,Uncategorized,2010,2012
Hawaii,Parentage,Uncategorized,1973,1976
Hawaii,Partnership,Commercial Law,1994,1999
Hawaii,Principal and Income,Uncategorized,1997,2000
Hawaii,Probate Code,Death,1969,1976
Hawaii,Prudent Investor,Uncategorized,1994,1997
Hawaii,Prudent Management of Institutional Funds,Uncategorized,2006,2009
Hawaii,Real Property Electronic Recording,Real Estate,2004,2009
Hawaii,Real Property Transfer on Death,Real Estate,2009,2011
Hawaii,Residential Landlord and Tenant,Real Estate,1972,1972
Hawaii,Securities,Commercial Law,3958,3978
Hawaii,Simultaneous Death,Death,3931,3934
Hawaii,Statutory Rule Against Perpetuities,Uncategorized,1986,1992
Hawaii,TOD Security Registration,Uncategorized,1989,1998
Hawaii,Testamentary Additions to Trusts,Uncategorized,3951,3959
Hawaii,Trade Secrets,Uncategorized,1979,1989
Hawaii,Transfers to Minors,Uncategorized,1983,1985
Hawaii,UCC,Uncategorized,1951,1965
Hawaii,UCC Article 1,Uncategorized,2001,2004
Hawaii,UCC Article 2A,Uncategorized,1987,1991
Hawaii,UCC Article 4A,Uncategorized,4001,4004
Hawaii,UCC Article 5,Uncategorized,1995,1996
Hawaii,UCC Article 7,Uncategorized,2003,2004
Hawaii,UCC Article 8,Uncategorized,3971,3983
Hawaii,UCC Article 9,Uncategorized,5981,5990
Hawaii,UCC Articles 3 and 4,Uncategorized,1990,1991
Hawaii,Unclaimed Property,Uncategorized,3976,3999
Hawaii,Unincorporated Nonprofit Association,Uncategorized,1992,1999
Idaho,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,2011
Idaho,Anatomical Gift,Anatomical Gift,7968,7974
Idaho,Athlete Agents,Uncategorized,2000,2001
Idaho,Child Custody Jurisdiction and Enforcement,Children,1997,2000
Idaho,Conservation Easement,Real Estate,1981,1988
Idaho,Controlled Substances,Uncategorized,1970,1971
Idaho,Custodial Trust,Uncategorized,1987,1989
Idaho,Declaratory Judgments,Civil Procedure,1922,1933
Idaho,Determination of Death,Death/Taxes,1980,1981
Idaho,Division of Income for Tax Purposes,Tax,1957,1965
Idaho,Electronic Transactions,Commercial Law,1999,2000
Idaho,Enforcement of Foreign Judgments,Civil Procedure,1964,1974
Idaho,Environmental Covenants,Real Estate,2003,2006
Idaho,Estate Tax Apportionment,Death/Taxes,2003,2004
Idaho,Federal Lien Registration,Civil Procedure,1978,1979
Idaho,Federal Tax Lien Registration,Civil Procedure,1966,1967
Idaho,Foreign Country Money Judgments Recognition,Civil Procedure,2005,2007
Idaho,Foreign Money Claims,Civil Procedure,1989,2001
Idaho,Interstate Depositions and Discovery,Civil Procedure,2007,2009
Idaho,Interstate Enforcement of Domestic Violence Protection Orders,Uncategorized,4002,4005
Idaho,Interstate Family Support,Uncategorized,5989,5997
Idaho,Limited Liability Company,Commercial Law,2006,2008
Idaho,Limited Partnership,Commercial Law,5962,5979
Idaho,Mediation,Commercial Law,2001,2008
Idaho,Partnership,Commercial Law,1994,1998
Idaho,Power of Attorney,Uncategorized,2006,2008
Idaho,Principal and Income,Uncategorized,4005,4010
Idaho,Probate Code,Death,1969,1971
Idaho,Prudent Investor,Uncategorized,1994,1997
Idaho,Prudent Management of Institutional Funds,Uncategorized,2006,2007
Idaho,Real Property Electronic Recording,Real Estate,2004,2007
Idaho,Securities,Commercial Law,3958,3971
Idaho,Simultaneous Death,Death,1940,1943
Idaho,TOD Security Registration,Uncategorized,1989,1996
Idaho,Testamentary Additions to Trusts,Uncategorized,3951,3962
Idaho,Trade Secrets,Uncategorized,1979,1990
Idaho,Transfers to Minors,Uncategorized,1983,1984
Idaho,UCC,Uncategorized,1951,1967
Idaho,UCC Article 1,Uncategorized,2001,2004
Idaho,UCC Article 2A,Uncategorized,1987,1993
Idaho,UCC Article 4A,Uncategorized,4001,4004
Idaho,UCC Article 5,Uncategorized,1995,1996
Idaho,UCC Article 7,Uncategorized,2003,2004
Idaho,UCC Article 8,Uncategorized,3971,3980
Idaho,UCC Article 9,Uncategorized,5981,5991
Idaho,UCC Articles 3 and 4,Uncategorized,1990,1993
Idaho,Unclaimed Property,Uncategorized,1981,1983
Idaho,Unincorporated Nonprofit Association,Uncategorized,1992,1993
Idaho,Unsworn Foreign Declarations,Uncategorized,2008,2013
Illinois,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,2009
Illinois,Anatomical Gift,Anatomical Gift,3974,3982
Illinois,Athlete Agents,Uncategorized,2000,2010
Illinois,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,1959
Illinois,Child Custody Jurisdiction and Enforcement,Children,1997,2003
Illinois,Controlled Substances,Uncategorized,1970,1971
Illinois,Declaratory Judgments,Civil Procedure,1922,1945
Illinois,Emergency Volunteer Health Practitioners,Uncategorized,2006,2010
Illinois,Enforcement of Foreign Judgments,Civil Procedure,3912,3942
Illinois,Environmental Covenants,Real Estate,2003,2008
Illinois,Federal Lien Registration,Civil Procedure,1978,1989
Illinois,Foreign Country Money Judgments Recognition,Civil Procedure,2005,2011
Illinois,Foreign Money Claims,Civil Procedure,1989,1990
Illinois,Fraudulent Transfer,Uncategorized,1984,1989
Illinois,International Wills,Death,1977,1990
Illinois,Interstate Family Support,Uncategorized,3997,4000
Illinois,Interstate Family Support Act,Uncategorized,1992,1994
Illinois,Limited Liability Company,Commercial Law,1995,1997
Illinois,Limited Partnership,Commercial Law,3977,3990
Illinois,Mediation,Commercial Law,2001,2003
Illinois,Parentage,Uncategorized,1973,1984
Illinois,Partnership,Commercial Law,1994,2002
Illinois,Prudent Investor,Uncategorized,1994,1991
Illinois,Prudent Management of Institutional Funds,Uncategorized,2006,2009
Illinois,Real Property Electronic Recording,Real Estate,2004,2007
Illinois,Real Property Transfer on Death,Real Estate,2009,2011
Illinois,Simultaneous Death,Death,1940,1941
Illinois,TOD Security Registration,Uncategorized,1989,1994
Illinois,Testamentary Additions to Trusts,Uncategorized,1960,1955
Illinois,Trade Secrets,Uncategorized,1979,1988
Illinois,Transfers to Minors,Uncategorized,1983,1985
Illinois,UCC,Uncategorized,1951,1961
Illinois,UCC Article 1,Uncategorized,2001,2008
Illinois,UCC Article 2A,Uncategorized,1987,1991
Illinois,UCC Article 4A,Uncategorized,4001,4003
Illinois,UCC Article 5,Uncategorized,1995,1996
Illinois,UCC Article 7,Uncategorized,2003,2008
Illinois,UCC Article 8,Uncategorized,3971,3983
Illinois,UCC Article 9,Uncategorized,5981,5984
Illinois,UCC Articles 3 and 4,Uncategorized,1990,1991
Illinois,Unclaimed Property,Uncategorized,1981,1987
Illinois,Unincorporated Nonprofit Association,Uncategorized,1992,1994
Indiana,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,2011
Indiana,Anatomical Gift,Anatomical Gift,5961,5971
Indiana,Athlete Agents,Uncategorized,2000,2001
Indiana,Child Custody Jurisdiction and Enforcement,Children,1997,2007
Indiana,Conservation Easement,Real Estate,1981,1984
Indiana,Controlled Substances,Uncategorized,1970,1976
Indiana,Custodial Trust,Uncategorized,1987,2003
Indiana,Declaratory Judgments,Civil Procedure,1922,1927
Indiana,Determination of Death,Death/Taxes,1980,1986
Indiana,Disclaimer of Property Interests,Uncategorized,1999,2003
Indiana,Electronic Recordation of Custodial Interrogations,Uncategorized,2010,2011
Indiana,Electronic Transactions,Commercial Law,1999,2000
Indiana,Emergency Volunteer Health Practitioners,Uncategorized,2006,2008
Indiana,Enforcement of Foreign Judgments,Civil Procedure,1948,2010
Indiana,Foreign Country Money Judgments Recognition,Civil Procedure,2005,2011
Indiana,Fraudulent Transfer,Uncategorized,1984,1994
Indiana,Interstate Depositions and Discovery,Civil Procedure,2007,2010
Indiana,Interstate Enforcement of Domestic Violence Protection Orders,Uncategorized,2000,2001
Indiana,Interstate Family Support,Uncategorized,1992,1996
Indiana,Limited Partnership,Commercial Law,1976,1988
Indiana,Principal and Income,Uncategorized,4005,4011
Indiana,Prudent Investor,Uncategorized,1994,1999
Indiana,Prudent Management of Institutional Funds,Uncategorized,2006,2007
Indiana,Securities,Commercial Law,3958,3964
Indiana,Simultaneous Death,Death,1940,1941
Indiana,Statutory Rule Against Perpetuities,Uncategorized,1986,1991
Indiana,TOD Security Registration,Uncategorized,1989,1997
Indiana,Testamentary Additions to Trusts,Uncategorized,1960,1953
Indiana,Trade Secrets,Uncategorized,1979,1982
Indiana,Transfers to Minors,Uncategorized,1983,1990
Indiana,UCC,Uncategorized,1951,1963
Indiana,UCC Article 1,Uncategorized,2001,2007
Indiana,UCC Article 2A,Uncategorized,1987,1991
Indiana,UCC Article 4A,Uncategorized,4001,4004
Indiana,UCC Article 5,Uncategorized,1995,1996
Indiana,UCC Article 7,Uncategorized,2003,2007
Indiana,UCC Article 8,Uncategorized,3971,3982
Indiana,UCC Article 9,Uncategorized,5981,5996
Indiana,UCC Articles 3 and 4,Uncategorized,3992,4002
Indiana,Unclaimed Property,Uncategorized,3976,3995
Indiana,Unsworn Foreign Declarations,Uncategorized,2008,2010
Iowa,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,2010
Iowa,Anatomical Gift,Anatomical Gift,5961,5971
Iowa,Athlete Agents,Uncategorized,2000,2009
Iowa,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,1951
Iowa,Certification of Questions of Law,Uncategorized,1967,1979
Iowa,Child Custody Jurisdiction and Enforcement,Children,1997,1999
Iowa,Controlled Substances,Uncategorized,1970,1971
Iowa,Declaratory Judgments,Civil Procedure,1922,1943
Iowa,Disclaimer of Property Interests,Uncategorized,1999,2004
Iowa,Electronic Transactions,Commercial Law,1999,2000
Iowa,Enforcement of Foreign Judgments,Civil Procedure,1964,1979
Iowa,Environmental Covenants,Real Estate,2003,2005
Iowa,Federal Lien Registration,Civil Procedure,1978,1989
Iowa,Federal Tax Lien Registration,Civil Procedure,1966,1970
Iowa,Foreign Country Money Judgments Recognition,Civil Procedure,2005,2010
Iowa,Fraudulent Transfer,Uncategorized,1984,1994
Iowa,Interstate Depositions and Discovery,Civil Procedure,2007,2013
Iowa,Interstate Family Support,Uncategorized,1992,1997
Iowa,Limited Liability Company,Commercial Law,2006,2008
Iowa,Limited Partnership,Commercial Law,3961,3979
Iowa,Limited partnership,Commercial Law,2001,2004
Iowa,Mediation,Commercial Law,2001,2005
Iowa,Money Services,Uncategorized,2000,2003
Iowa,Notarial Acts,Uncategorized,2010,2012
Iowa,Partnership,Commercial Law,1994,1998
Iowa,Principal and Income,Uncategorized,4005,4008
Iowa,Prudent Investor,Uncategorized,1994,1999
Iowa,Prudent Management of Institutional Funds,Uncategorized,2006,2008
Iowa,Residential Landlord and Tenant,Real Estate,1972,1978
Iowa,Securities,Commercial Law,3958,3979
Iowa,Simultaneous Death,Death,1940,1943
Iowa,TOD Security Registration,Uncategorized,1989,1997
Iowa,Testamentary Additions to Trusts,Uncategorized,1960,1963
Iowa,Trade Secrets,Uncategorized,1979,1990
Iowa,Transfers to Minors,Uncategorized,1983,1986
Iowa,UCC,Uncategorized,1951,1965
Iowa,UCC Article 1,Uncategorized,2001,2007
Iowa,UCC Article 2A,Uncategorized,1987,1994
Iowa,UCC Article 4A,Uncategorized,4001,4005
Iowa,UCC Article 5,Uncategorized,1995,1996
Iowa,UCC Article 7,Uncategorized,2003,2007
Iowa,UCC Article 8,Uncategorized,3971,3985
Iowa,UCC Article 9,Uncategorized,5981,5986
Iowa,UCC Articles 3 and 4,Uncategorized,1990,1994
Iowa,Unincorporated Nonprofit Association,Uncategorized,2008,2010
Kansas,Anatomical Gift,Anatomical Gift,3974,3976
Kansas,Athlete Agents,Uncategorized,2000,2003
Kansas,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,1951
Kansas,Certification of Questions of Law,Uncategorized,1967,1979
Kansas,Child Abduction Prevention,Children,2006,2007
Kansas,Child Custody Jurisdiction and Enforcement,Children,1997,2000
Kansas,Conservation Easement,Real Estate,1981,1992
Kansas,Controlled Substances,Uncategorized,1970,1972
Kansas,Declaratory Judgments,Civil Procedure,1922,1993
Kansas,Determination of Death,Death/Taxes,1980,1984
Kansas,Division of Income for Tax Purposes,Tax,1957,1963
Kansas,Electronic Transactions,Commercial Law,1999,2000
Kansas,Enforcement of Foreign Judgments,Civil Procedure,1964,1970
Kansas,Federal Lien Registration,Civil Procedure,1978,1988
Kansas,Federal Tax Lien Registration,Civil Procedure,1966,1967
Kansas,Fraudulent Transfer,Uncategorized,1984,1998
Kansas,Interstate Depositions and Discovery,Civil Procedure,2007,2010
Kansas,Interstate Enforcement of Domestic Violence Protection Orders,Uncategorized,2000,2005
Kansas,Interstate Family Support,Uncategorized,3988,3991
Kansas,Limited Partnership,Commercial Law,3961,3970
Kansas,Notarial Acts,Uncategorized,1982,1984
Kansas,Parentage,Uncategorized,1973,1985
Kansas,Partnership,Commercial Law,1994,1998
Kansas,Principal and Income,Uncategorized,4005,4010
Kansas,Prudent Investor,Uncategorized,1994,2000
Kansas,Prudent Management of Institutional Funds,Uncategorized,2006,2008
Kansas,Real Property Electronic Recording,Real Estate,2004,2006
Kansas,Residential Landlord and Tenant,Real Estate,1972,1975
Kansas,Securities,Commercial Law,3958,3962
Kansas,Simultaneous Death,Death,3931,3939
Kansas,Statutory Rule Against Perpetuities,Uncategorized,1986,1992
Kansas,TOD Security Registration,Uncategorized,1989,1994
Kansas,Testamentary Additions to Trusts,Uncategorized,1960,1968
Kansas,Trade Secrets,Uncategorized,3964,3969
Kansas,Transfers to Minors,Uncategorized,1983,1985
Kansas,Trust Code,Uncategorized,2000,2002
Kansas,UCC,Uncategorized,1951,1965
Kansas,UCC Article 1,Uncategorized,2001,2007
Kansas,UCC Article 2A,Uncategorized,1987,1991
Kansas,UCC Article 4A,Uncategorized,1989,1990
Kansas,UCC Article 5,Uncategorized,1995,1996
Kansas,UCC Article 7,Uncategorized,2003,2007
Kansas,UCC Article 8,Uncategorized,3971,3982
Kansas,UCC Article 9,Uncategorized,5981,5987
Kansas,UCC Articles 3 and 4,Uncategorized,1990,1991
Kansas,Unclaimed Property,Uncategorized,3976,3993
Kentucky,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,2011
Kentucky,Anatomical Gift,Anatomical Gift,3974,3980
Kentucky,Athlete Agents,Uncategorized,2000,2003
Kentucky,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,1952
Kentucky,Child Custody Jurisdiction and Enforcement,Children,1997,2004
Kentucky,Condominium,Real Estate,1980,2010
Kentucky,Conservation Easement,Real Estate,1981,1988
Kentucky,Controlled Substances,Uncategorized,1970,1974
Kentucky,Disposition of Community Property Rights at Death,Death/Taxes,1971,1974
Kentucky,Division of Income for Tax Purposes,Tax,1957,1950
Kentucky,Electronic Transactions,Commercial Law,1999,2000
Kentucky,Emergency Volunteer Health Practitioners,Uncategorized,2006,2007
Kentucky,Enforcement of Foreign Judgments,Civil Procedure,1964,1990
Kentucky,Environmental Covenants,Real Estate,2003,2005
Kentucky,Interstate Depositions and Discovery,Civil Procedure,2007,2008
Kentucky,Interstate Family Support,Uncategorized,3988,3994
Kentucky,Limited Cooperative Association,Uncategorized,2007,2012
Kentucky,Limited Partnership,Commercial Law,3977,3994
Kentucky,Military and Overseas Voters,Uncategorized,2010,2013
Kentucky,Partnership,Commercial Law,1994,2006
Kentucky,Principal and Income,Uncategorized,4005,4014
Kentucky,Prudent Management of Institutional Funds,Uncategorized,2006,2010
Kentucky,Residential Landlord and Tenant,Real Estate,1972,1974
Kentucky,Securities,Commercial Law,1956,1958
Kentucky,Simultaneous Death,Death,3893,3908
Kentucky,Statutory Trust Entity,Uncategorized,2009,2012
Kentucky,TOD Security Registration,Uncategorized,1989,1998
Kentucky,Testamentary Additions to Trusts,Uncategorized,3951,3964
Kentucky,Trade Secrets,Uncategorized,1979,1990
Kentucky,Transfers to Minors,Uncategorized,1983,1986
Kentucky,UCC,Uncategorized,1951,1958
Kentucky,UCC Article 1,Uncategorized,2001,2006
Kentucky,UCC Article 2A,Uncategorized,3977,3982
Kentucky,UCC Article 4A,Uncategorized,4001,4005
Kentucky,UCC Article 5,Uncategorized,1995,2000
Kentucky,UCC Article 7,Uncategorized,2008,2012
Kentucky,UCC Article 8,Uncategorized,3971,3982
Kentucky,UCC Article 9,Uncategorized,5981,5998
Kentucky,UCC Articles 3 and 4,Uncategorized,3992,4002
Louisiana,Anatomical Gift,Anatomical Gift,3974,3978
Louisiana,Athlete Agents,Uncategorized,2000,2004
Louisiana,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,1936
Louisiana,Child Abduction Prevention,Children,2006,2007
Louisiana,Child Custody Jurisdiction and Enforcement,Children,1997,2006
Louisiana,Condominium,Real Estate,1977,1979
Louisiana,Controlled Substances,Uncategorized,1970,1971
Louisiana,Custodial Trust,Uncategorized,1987,1995
Louisiana,Declaratory Judgments,Civil Procedure,1922,1948
Louisiana,Electronic Transactions,Commercial Law,1999,2001
Louisiana,Emergency Volunteer Health Practitioners,Uncategorized,2006,2009
Louisiana,Enforcement of Foreign Judgments,Civil Procedure,1964,1985
Louisiana,Federal Lien Registration,Civil Procedure,1978,1987
Louisiana,Fraudulent Transfer,Uncategorized,1984,2003
Louisiana,Interstate Family Support Act,Uncategorized,1992,1995
Louisiana,Prudent Management of Institutional Funds,Uncategorized,2006,2010
Louisiana,Transfers to Minors,Uncategorized,1983,1987
Louisiana,UCC,Uncategorized,1951,1972
Louisiana,UCC Article 1,Uncategorized,2001,2006
Louisiana,UCC Article 4A,Uncategorized,1989,1990
Louisiana,UCC Article 5,Uncategorized,1995,1999
Louisiana,UCC Article 7,Uncategorized,2003,2009
Louisiana,UCC Article 8,Uncategorized,3971,3984
Louisiana,UCC Article 9,Uncategorized,5981,6001
Louisiana,UCC Articles 3 and 4,Uncategorized,1990,1992
Louisiana,Unclaimed Property,Uncategorized,3976,3984
Louisiana,Unincorporated Nonprofit Association,Uncategorized,1992,2008
Maine,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,2012
Maine,Anatomical Gift,Anatomical Gift,3974,3977
Maine,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,1939
Maine,Certification of Questions of Law,Uncategorized,1967,1965
Maine,Child Custody Jurisdiction and Enforcement,Children,1997,1999
Maine,Condominium,Real Estate,1977,1982
Maine,Conservation Easement,Real Estate,1981,1985
Maine,Declaratory Judgments,Civil Procedure,1922,1941
Maine,Determination of Death,Death/Taxes,1980,1983
Maine,Division of Income for Tax Purposes,Tax,1957,1969
Maine,Electronic Transactions,Commercial Law,1999,2000
Maine,Enforcement of Foreign Judgments,Civil Procedure,1964,1975
Maine,Environmental Covenants,Real Estate,2003,2005
Maine,Federal Lien Registration,Civil Procedure,1978,1989
Maine,Fraudulent Transfer,Uncategorized,1984,1986
Maine,Health Care Decisions,Guardians,1993,1995
Maine,Interstate Family Support,Uncategorized,7997,8003
Maine,Limited Partnership,Commercial Law,3977,3997
Maine,Partnership,Commercial Law,1994,2006
Maine,Power of Attorney,Uncategorized,2006,2009
Maine,Principal and Income,Uncategorized,4005,4013
Maine,Probate Code,Death,1969,1978
Maine,Prudent Investor,Uncategorized,1994,1996
Maine,Prudent Management of Institutional Funds,Uncategorized,2006,2009
Maine,Securities,Commercial Law,3958,3990
Maine,Simultaneous Death,Death,1940,1941
Maine,TOD Security Registration,Uncategorized,1989,1998
Maine,Testamentary Additions to Trusts,Uncategorized,1960,1963
Maine,Trade Secrets,Uncategorized,1979,1987
Maine,Transfers to Minors,Uncategorized,1983,1988
Maine,Trust Code,Uncategorized,2000,2004
Maine,UCC,Uncategorized,1951,1963
Maine,UCC Article 1,Uncategorized,2001,2009
Maine,UCC Article 2A,Uncategorized,1987,1992
Maine,UCC Article 4A,Uncategorized,4001,4005
Maine,UCC Article 5,Uncategorized,1995,1997
Maine,UCC Article 7,Uncategorized,2003,2009
Maine,UCC Article 8,Uncategorized,3971,3985
Maine,UCC Article 9,Uncategorized,5981,5990
Maine,UCC Articles 3 and 4,Uncategorized,1990,1993
Maine,Unclaimed Property,Uncategorized,3976,3985
Maryland,Adult Guardianship and Protective Proceedings Jurisdiction,Guardians,2007,2010
Maryland,Anatomical Gift,Anatomical Gift,3974,3980
Maryland,Athlete Agents,Uncategorized,2000,2003
Maryland,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,1937
Maryland,Certification of Questions of Law,Uncategorized,3962,3968
Maryland,Child Custody Jurisdiction and Enforcement,Children,1997,2004
Maryland,Computer Information Transactions,Uncategorized,1999,2000
Maryland,Controlled Substances,Uncategorized,1970,1971
Maryland,Declaratory Judgments,Civil Procedure,1922,1945
Maryland,Determination of Death,Death/Taxes,1980,1982
Maryland,Disclaimer of Property Interests,Uncategorized,3972,3982
Maryland,Electronic Transactions,Commercial Law,1999,2000
Maryland,Enforcement of Foreign Judgments,Civil Procedure,1964,1987
Maryland,Environmental Covenants,Real Estate,2003,2005
Maryland,Estate Tax Apportionment,Death/Taxes,1964,1965
Maryland,Federal Lien Registration,Civil Procedure,1978,1980
Maryland,Federal Tax Lien Registration,Civil Procedure,1966,1967
Maryland,International Wills,Death,1977,2010
Maryland,Interstate Depositions and Discovery,Civil Procedure,2007,2008
Maryland,Interstate Family Support,Uncategorized,1992,1996
Maryland,Limited Partnership,Commercial Law,1976,1981
Maryland,Partnership,Commercial Law,1992,1997
Maryland,Power of Attorney,Uncategorized,2006,2010
Maryland,Principal and Income,Uncategorized,2008,2012
Maryland,Prudent Investor,Uncategorized,1994,1998
Maryland,Prudent Management of Institutional Funds,Uncategorized,2006,2009
Maryland,Real Property Electronic Recording,Real Estate,2004,2005
Maryland,Securities,Commercial Law,1956,1961
Maryland,Simultaneous Death,Death,1940,1941
Maryland,TOD Security Registration,Uncategorized,1989,1994
Maryland,Testamentary Additions to Trusts,Uncategorized,1960,1959
Maryland,Trade Secrets,Uncategorized,1979,1989
Maryland,Transfers to Minors,Uncategorized,1983,1989
Maryland,UCC,Uncategorized,1951,1963
Maryland,UCC Article 1,Uncategorized,2001,2012
Maryland,UCC Article 2A,Uncategorized,1987,1994
Maryland,UCC Article 4A,Uncategorized,1989,1992
Maryland,UCC Article 5,Uncategorized,1995,1997
Maryland,UCC Article 7,Uncategorized,2003,2004
Maryland,UCC Article 8,Uncategorized,3971,3982
Maryland,UCC Article 9,Uncategorized,5980,5991
Maryland,UCC Articles 3 and 4,Uncategorized,1990,1996
Massachusetts,Anatomical Gift,Anatomical Gift,3974,3983
Massachusetts,"Attendance of Witnesses From Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,1937
Massachusetts,Certification of Questions of Law,Uncategorized,1967,1971
Massachusetts,Controlled Substances,Uncategorized,1970,1971
Massachusetts,Custodial Trust,Uncategorized,1987,1994
Massachusetts,Declaratory Judgments,Civil Procedure,1922,1945
Massachusetts,Disclaimer of Property Interests,Uncategorized,1999,2009
Massachusetts,Electronic Transactions,Commercial Law,1999,2004
Massachusetts,Estate Tax Apportionment,Death/Taxes,2003,2009
Massachusetts,Federal Tax Lien Registration,Civil Procedure,1966,1963
Massachusetts,Fraudulent Transfer,Uncategorized,1984,1996
Massachusetts,Guardianship and Protective Proceedings,Guardians,1997,2009
Massachusetts,Interstate Family Support,Uncategorized,1992,1995
Massachusetts,Limited Partnership,Commercial Law,3961,3971
Massachusetts,Multiple Person Accounts,Uncategorized,1989,2009
Massachusetts,Principal and Income,Uncategorized,1997,2006
Massachusetts,Probate Code,Death,1991,2009
Massachusetts,Prudent Investor,Uncategorized,1994,1999
Massachusetts,Prudent Management of Institutional Funds,Uncategorized,2006,2009
Massachusetts,Securities,Commercial Law,1956,1972
Massachusetts,Simultaneous Death,Death,5884,5911
Massachusetts,Statutory Rule Against Perpetuities,Uncategorized,1986,1990
Massachusetts,TOD Security Registration,Uncategorized,1989,1999
Massachusetts,Testamentary Additions to Trusts,Uncategorized,3951,3972
Massachusetts,Transfers to Minors,Uncategorized,1983,1986
Massachusetts,Trust Code,Uncategorized,2000,2012
Massachusetts,UCC,Uncategorized,1951,1957
Massachusetts,UCC Article 2A,Uncategorized,1987,1996
Massachusetts,UCC Article 4A,Uncategorized,4001,4005
Massachusetts,UCC Article 5,Uncategorized,1995,1998
Massachusetts,UCC Article 7,Uncategorized,2003,2013
