State,ActName,Category,Promulgated,Prom_Decade,Enacted,Enact_Decade
Wisconsin,Anatomical Gift,Anatomical Gift,1968,,1969,
Wyoming,Anatomical Gift,Anatomical Gift,1968,,1969,
Alabama,Anatomical Gift,Anatomical Gift,1987,,2003,
Arizona,Anatomical Gift,Anatomical Gift,1987,,1996,
Arkansas,Anatomical Gift,Anatomical Gift,1987,,1989,
California,Anatomical Gift,Anatomical Gift,1987,,1989,
Connecticut,Anatomical Gift,Anatomical Gift,1987,,1988,
Hawaii,Anatomical Gift,Anatomical Gift,1987,,1988,
Idaho,Anatomical Gift,Anatomical Gift,1987,,1989,
Indiana,Anatomical Gift,Anatomical Gift,1987,,1995,
Iowa,Anatomical Gift,Anatomical Gift,1987,,1995,
Minnesota,Anatomical Gift,Anatomical Gift,1987,,1991,
Montana,Anatomical Gift,Anatomical Gift,1987,,1989,
Nevada,Anatomical Gift,Anatomical Gift,1987,,1989,
New Hampshire,Anatomical Gift,Anatomical Gift,1987,,1997,
New Mexico,Anatomical Gift,Anatomical Gift,1987,,1995,
North Dakota,Anatomical Gift,Anatomical Gift,1987,,1989,
Oregon,Anatomical Gift,Anatomical Gift,1987,,1995,
Rhode Island,Anatomical Gift,Anatomical Gift,1987,,1989,
Tennessee,Anatomical Gift,Anatomical Gift,1987,,2003,
U.S. Virgin Islands,Anatomical Gift,Anatomical Gift,1987,,2000,
Utah,Anatomical Gift,Anatomical Gift,1987,,1990,
Vermont,Anatomical Gift,Anatomical Gift,1987,,1991,
Virginia,Anatomical Gift,Anatomical Gift,1987,,1990,
Washington,Anatomical Gift,Anatomical Gift,1987,,1993,
Wisconsin,Anatomical Gift,Anatomical Gift,1987,,1990,
Alabama,Anatomical Gift,Anatomical Gift,2006,,2008,
Alaska,Anatomical Gift,Anatomical Gift,2006,,2008,
Arizona,Anatomical Gift,Anatomical Gift,2006,,2007,
Arkansas,Anatomical Gift,Anatomical Gift,2006,,2007,
California,Anatomical Gift,Anatomical Gift,2006,,2008,
Colorado,Anatomical Gift,Anatomical Gift,2006,,2007,
Connecticut,Anatomical Gift,Anatomical Gift,2006,,2010,
District of Columbia,Anatomical Gift,Anatomical Gift,2006,,2008,
Georgia,Anatomical Gift,Anatomical Gift,2006,,2008,
Hawaii,Anatomical Gift,Anatomical Gift,2006,,2008,
Idaho,Anatomical Gift,Anatomical Gift,2006,,2007,
Illinois,Anatomical Gift,Anatomical Gift,2006,,2013,
Indiana,Anatomical Gift,Anatomical Gift,2006,,2007,
Iowa,Anatomical Gift,Anatomical Gift,2006,,2007,
Kansas,Anatomical Gift,Anatomical Gift,2006,,2007,
Kentucky,Anatomical Gift,Anatomical Gift,2006,,2010,
Louisiana,Anatomical Gift,Anatomical Gift,2006,,2010,
Maine,Anatomical Gift,Anatomical Gift,2006,,2008,
Maryland,Anatomical Gift,Anatomical Gift,2006,,2011,
Massachusetts,Anatomical Gift,Anatomical Gift,2006,,2012,
Michigan,Anatomical Gift,Anatomical Gift,2006,,2008,
Minnesota,Anatomical Gift,Anatomical Gift,2006,,2007,
Mississippi,Anatomical Gift,Anatomical Gift,2006,,2008,
Missouri,Anatomical Gift,Anatomical Gift,2006,,2008,
Montana,Anatomical Gift,Anatomical Gift,2006,,2007,
Nebraska,Anatomical Gift,Anatomical Gift,2006,,2010,
Nevada,Anatomical Gift,Anatomical Gift,2006,,2007,
New Hampshire,Anatomical Gift,Anatomical Gift,2006,,2010,
New Jersey,Anatomical Gift,Anatomical Gift,2006,,2008,
New Mexico,Anatomical Gift,Anatomical Gift,2006,,2007,
North Carolina,Anatomical Gift,Anatomical Gift,2006,,2007,
North Dakota,Anatomical Gift,Anatomical Gift,2006,,2007,
Ohio,Anatomical Gift,Anatomical Gift,2006,,2009,
Oklahoma,Anatomical Gift,Anatomical Gift,2006,,2009,
Oregon,Anatomical Gift,Anatomical Gift,2006,,2007,
Rhode Island,Anatomical Gift,Anatomical Gift,2006,,2007,
South Carolina,Anatomical Gift,Anatomical Gift,2006,,2009,
South Dakota,Anatomical Gift,Anatomical Gift,2006,,2007,
Tennessee,Anatomical Gift,Anatomical Gift,2006,,2007,
Texas,Anatomical Gift,Anatomical Gift,2006,,2009,
U.S. Virgin Islands,Anatomical Gift,Anatomical Gift,2006,,2010,
Utah,Anatomical Gift,Anatomical Gift,2006,,2007,
Vermont,Anatomical Gift,Anatomical Gift,2006,,2010,
Virginia,Anatomical Gift,Anatomical Gift,2006,,2007,
Washington,Anatomical Gift,Anatomical Gift,2006,,2008,
West Virginia,Anatomical Gift,Anatomical Gift,2006,,2008,
Wisconsin,Anatomical Gift,Anatomical Gift,2006,,2008,
Wyoming,Anatomical Gift,Anatomical Gift,2006,,2009,
Idaho,Anatomical Gift,Anatomical Gift,2007,,2009,
North Dakota,Anatomical Gift,Anatomical Gift,2007,,2009,
Utah,Anatomical Gift,Anatomical Gift,2007,,2008,
Virginia,Anatomical Gift,Anatomical Gift,2007,,2008,
Alaska,Arbitration,,2000,,2004,
Arizona,Arbitration,,2000,,2010,
Arkansas,Arbitration,,2000,,2011,
Colorado,Arbitration,,2000,,2004,
District of Columbia,Arbitration,,2000,,2008,
Florida,Arbitration,,2000,,2013,
Hawaii,Arbitration,,2000,,2001,
Michigan,Arbitration,,2000,,2013,
Minnesota,Arbitration,,2000,,2010,
Nevada,Arbitration,,2000,,2001,
New Jersey,Arbitration,,2000,,2003,
New Mexico,Arbitration,,2000,,2001,
North Carolina,Arbitration,,2000,,2003,
North Dakota,Arbitration,,2000,,2003,
Oklahoma,Arbitration,,2000,,2005,
Oregon,Arbitration,,2000,,2003,
Utah,Arbitration,,2000,,2002,
Washington,Arbitration,,2000,,2005,
Nevada,Assignment of Rents,,2005,,2007,
New Mexico,Assignment of Rents,,2005,,2011,
North Dakota,Assignment of Rents,,2005,,2013,
Texas,Assignment of Rents,,2005,,2011,
Utah,Assignment of Rents,,2005,,2009,
Alabama,Athlete Agents,,2000,,2001,
Arizona,Athlete Agents,,2000,,2001,
Arkansas,Athlete Agents,,2000,,2001,
Colorado,Athlete Agents,,2000,,2008,
Connecticut,Athlete Agents,,2000,,2004,
Delaware,Athlete Agents,,2000,,2001,
District of Columbia,Athlete Agents,,2000,,2002,
Florida,Athlete Agents,,2000,,2002,
Georgia,Athlete Agents,,2000,,2003,
Hawaii,Athlete Agents,,2000,,2007,
Idaho,Athlete Agents,,2000,,2001,
Illinois,Athlete Agents,,2000,,2010,
Indiana,Athlete Agents,,2000,,2001,
Iowa,Athlete Agents,,2000,,2009,
Kansas,Athlete Agents,,2000,,2003,
Kentucky,Athlete Agents,,2000,,2003,
Louisiana,Athlete Agents,,2000,,2004,
Maryland,Athlete Agents,,2000,,2003,
Minnesota,Athlete Agents,,2000,,2002,
Mississippi,Athlete Agents,,2000,,2001,
Missouri,Athlete Agents,,2000,,2004,
Montana,Athlete Agents,,2000,,2003,
Nebraska,Athlete Agents,,2000,,2009,
Nevada,Athlete Agents,,2000,,2001,
New Hampshire,Athlete Agents,,2000,,2006,
New Mexico,Athlete Agents,,2000,,2009,
New York,Athlete Agents,,2000,,2004,
North Carolina,Athlete Agents,,2000,,2003,
North Dakota,Athlete Agents,,2000,,2003,
Oklahoma,Athlete Agents,,2000,,2003,
Oregon,Athlete Agents,,2000,,2005,
Pennsylvania,Athlete Agents,,2000,,2003,
Rhode Island,Athlete Agents,,2000,,2008,
South Carolina,Athlete Agents,,2000,,2004,
South Dakota,Athlete Agents,,2000,,2006,
Tennessee,Athlete Agents,,2000,,2001,
Texas,Athlete Agents,,2000,,2003,
U.S. Virgin Islands,Athlete Agents,,2000,,2002,
Utah,Athlete Agents,,2000,,2001,
Washington,Athlete Agents,,2000,,2002,
West Virginia,Athlete Agents,,2000,,2001,
Wisconsin,Athlete Agents,,2000,,2004,
Wyoming,Athlete Agents,,2000,,2005,
Alaska,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1962,
Arizona,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1937,
California,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1937,
Colorado,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1939,
Connecticut,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1937,
Delaware,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1937,
District of Columbia,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1952,
Florida,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1941,
Georgia,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1976,
Hawaii,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1971,
Illinois,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1959,
Iowa,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1951,
Kansas,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1951,
Kentucky,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1952,
Louisiana,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1936,
Maine,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1939,
Maryland,"Attendance of Witnesses from Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1937,
Massachusetts,"Attendance of Witnesses From Without a State in Criminal Proceedings, Act to Secure",Criminal Procedure,1936,,1937,
